Dénomination,Dépt.
A gauche-innover-rassembler,75
A.I.A.-A.P.I.,987
Action pour le renouveau socialiste,75
Action-Réformes,44
Agir au quotidien avec Nicolas Dupont-Aignan,91
Aimer Angers,49
Alliance guyanaise,973
Alliance Méditerranée Alpes,6
Alliance nationale républicaine et démocratique,34
Alliance pour la souveraineté de la France,92
Alternative rouge et verte,75
Anjou écologie autogestion,49
Aquitaine 2000,33
Argenteuil que nous aimons,95
Arias 94,94
Assemblée des alliances de citoyens,75
Association de gestion des adhérents directs de l'UDF,75
Association de recherches et d'initiatives pour l'autogestion et le socialisme,75
Association Les amis de Jacques Chirac,75
Association des indépendants de progrès,87
Association le Mans Demain,72
Association Paris 15,75
"Association Parti socialiste, Parti radical socialiste et apparentés",75
"Association pour la démocratie, l'écologie et la solidarité",38
Association pour la réforme,75
Association pour l'information des habitants du 16ème arrondissement,75
Association pour une République citoyenne,75
Avec vous pour le XVIIIème,75
Brétigny autrement : une gauche pluraliste,91
Centre national des indépendants et des paysans,75
"Chasse, pêche, nature et traditions",64
Citoyens candidats,59
Club 89,75
Club Gambetta République et égalité,75
Combat pour les valeurs,75
Comité central bonapartiste,20B
Comité de soutien à Jean Valleix,33
Comité des citoyens montreuillois,93
Confédération nationale Avenir France République,25
Conseil national des comités populaires,972
Convaincre (Fédération des associations Convaincre),75
Convention pour le progrès social,34
Convention pour une alternative progressiste,75
Convergence régionale,75
Convergences Champigny,94
Convergences Ecologie Solidarité,75
Convergences Gilles Carrez,94
Convention régionale de Bretagne,35
Coordination nationale des femmes en  politique,75
COTELEC,92
Demain la France,75
Démocratie chrétienne française,75
Démocratie et liberté,32
Démocratie libérale,75
Des villages dans la ville,94
Dialogue,69
Droite libérale chrétienne,69
Ecully 2001 (devenu Union et démocratie),69
Eden-République et démocratie (ex Entente Démocratie Ecologie en Normandie),76
Elan nouveau,974
Energie France,75
Ensemble pour Gonesse,95
Ensemble pour la France,38
Ensemble pour le Haut-Vaucluse,84
Entente républicaine - le parti azuréen,6
Euskal Batasuna,64
Fédération pour l'unité du peuple calédonien,988
Fédération réussir Lyon,69
FETIA A.P.I.,987
Force démocrate,75
France moderne,75
Francheville au coeur,69
Frankiz Breizh/Liberté Bretagne,29
Free-Dom,974
Front de libération de la Polynésie,987
Front national,75
Futurs-Mouvement des refondateurs communistes,93
Génération Ecologie,75
Grenoble 2001,38
Grenoble cap 2001,38
Groupe d'action économique et sociale,13
Groupe d'études municipales d'Eure-et-Loir (GEM 28),28
Groupement des élus de l'UDF,75
Groupement France-Réunion,974
Guadeloupe unie socialisme et réalités,971
Indre démocratie,36
Initiative républicaine,75
Initiatives citoyennes,44
Initiatives pour la Réunion,974
Initiatives pour le développement du  Sud,974
"Initiatives pour une démocratie européenne, économique et sociale",94
J'aime Brest,29
La volonté de vivre ensemble,68
L'Action,972
L'Alliance (ex Une nouvelle Calédonie pour tous),988
L'Alliance régionale,62
Les Alternatifs,75
Les Verts,75
Ligue communiste révolutionnaire,93
Lutte ouvrière,75
Lyon-Rhône-Alpes 2007,69
Metz pour tous,57
Mouvement de décolonisation et d'émancipation de la Guyane,973
Mouvement de la gauche progressiste,72
Mouvement Démocratie alsacienne,67
Mouvement Démocratie lorraine,57
Mouvement départementaliste mahorais,976
Mouvement des citoyens,75
Mouvement des réformateurs,75
Mouvement de gestion communale de la ville de Plan-de-Cuques,13
Mouvement écologiste indépendant,75
"Mouvement Emploi, Environnement, Sécurité en Seine-et-Marne",77
"Mouvement Hommes, Animaux, Nature",75
Mouvement indépendantiste martiniquais,972
Mouvement libéral martiniquais,972
Mouvement National Républicain,75
Mouvement politique pour la relance économique et sociale de la Seyne-sur-mer,83
Mouvement populaire mahorais,976
Mouvement pour la démocratie directe,67
Mouvement Pour la France,75
Mouvement pour les droits et le respect des générations futures,60
Mouvement pour une écologie urbaine,972
Mouvement progressiste Socialisme et démocratie,974
Mouvement Renouveau inter-générations (ex Mouvement retraite inter-génération),69
Mouvement réussir Strasbourg,67
Nanterre maintenant,92
Nouveaux écologistes du rassemblement Nature et Animaux,13
Nouvelle génération,974
Nouvelle Union pour la Démocratie Française (ex UDF),75
Parti communautaire national européen,75
Parti communiste français,75
Parti communiste guadeloupéen,971
Parti communiste martiniquais,972
Parti communiste réunionnais,974
Parti de la France démocrate,75
Parti de la loi naturelle,95
Parti des travailleurs,75
Parti humaniste,75
Parti mouvement guadeloupéen écologiste,971
Parti national républicain,75
Parti populaire pour la démocratie française (ex Club perspectives et réalités),75
Parti pour la défense des animaux,13
Parti pour la liberté,75
Parti progressiste démocratique guadeloupéen,971
Parti progressiste martiniquais,972
Parti Radical,75
Parti radical de gauche (ex parti radical de gauche MRG),75
Parti social démocrate,75
Parti Socialiste,75
Parti socialiste gaudeloupéen,971
Participation et liberté,75
Partit occitan,10
Partit per catalunya,66
Plus jamais comme avant,974
Pour rénover la gauche,75
Priorité Réunion,974
Pupu here ai'a te nuna'a la ora,987
Rassemblement des contribuables français,75
Rassemblement des démocrates pour la protection de l'espace réunionnais,974
Rassemblement Poitiers sud,86
Rassemblement pour la Calédonie dans la République,988
Rassemblement pour la France et l'indépendance de l'Europe,75
Rassemblement pour la Guyane dans la République,973
Rassemblement Pour la République,75
Rassemblement social et libéral,75
Rassembler et agir pour le Boulonnais,62
Rassembler pour agir,95
Réussir ensemble en Dordogne-Périgord,24
Savoie d'aujourd'hui,73
Solidaires-Régions-Ecologie,75
Solidarité Ecologie gauche alternative,75
Solidarité Ecologie Haut-Rhin,
(devenu Citoyenneté Solidarité Ecologie),68
Solidarité et progrès,75
Tahoeraa huiraatira,987
Tarbes 2001,65
Toulon 89,83
Toulouse pour tous,31
Tous pour le XIIIème,75
Union centriste,75
Union centriste et libérale,974
Union démocratique bretonne,44
Union des forces de progrès de Guyane,973
Union des martiniquais démocrates,972
Union du peuple alsacien,67
Union et rassemblement majorité régionale (notés x) Rhône -  Alpes,1
Union et rassemblement pour le Gers,32
Union Force d'avenir,92
Union pour Châtillon,92
Union pour l'Albigeois,81
Union pour l'avenir de Mantes-la-jolie,78
Union pour l'avenir du pays de Ploërmel,56
Union pour l'avenir du XVIème sud,75
Union pour la 7ème [circ.],95
Union pour la démocratie en Ile-de-France,75
Union pour la Savoie,73
Union pour la semaine de 4 jours,75
Union pour le pays malouin,35
Union pour Muret,31
Union pour Saint-Chamond,42
Union pour Saint-Sébastien-sur-Loire,44
Union régionale pour la démocratie française,1
