Dénomination,Dépt.
A.I.A-A.P.I.,987
A gauche autrement,26
A gauche innover rassembler (A.G.I.R.),75
Action (l') (ex union pour le renouveau),972
Alliance générale d'initiatives et de réflexion (A.G.I.R.),75
Alliance locale des citoyens d'Orsay et de Bures,91
Alliance populaire,75
Alliance pour l'écologie et la démocratie,75
Alternance démocratique,92
Alternative rouge et verte (A.R.E.V.),75
Anjou écologie autogestion,49
ARIAS 94,94
Association contre le chômage et l'exclusion,29
Association de gestion des adhérents directs de l'U.D.F. (A.G.A.D.-U.D.F.),75
Association de recherches et d'initiatives pour l'autogestion et le socialisme,75
Association Parti socialiste - M. R. G. et apparentés,75
Association pour une République citoyenne (A.R.C.),75
Association témoin,75
Audace,30
Centre des démocrates sociaux (C.D.S.),75
Centre national des indépendants et paysans (C.N.I.),75
"Chasse, pêche, nature et traditions",33
Citoyens d'Europe (ex Le mouvement action égalité),75
Club 89,75
Club perspectives et réalités,
"(devenu Parti populaire pour la démocratie française, en juillet 1995)",59
Combat ouvrier,972
Combat pour les valeurs,75
Comité départementaliste portois,974
Comité des citoyens montreuillois,93
Convaincre (Fédération des associations Convaincre) (F.A.C.),75
Convention Démocratie Avenir (C.D.A.),13
Convention libérale européenne et sociale (C.L.E.S.),75
Convention pour la Vème République,75
Convention pour le progrès social,34
Convergences écologie solidarité,75
Des villages dans la ville (ex Saint-Maur demain),94
Délégation pour la promotion de l'alliance,75
Demain la France,75
Démocratie 13ème,92
écologie alternative autogestion (E 2A),38
écologiste,971
énergie France,75
Entau païs,65
Entente démocratie écologie en Normandie (E.D.E.N.),76
Euskal batasuna,64
Fédération démocratique de Franche-Comté,25
Fédération pour une nouvelle solidarité,75
Forum progressiste,94
Forum provence 13,13
Forum républicain,75
France éclairée,6
France Réunion avenir,974
Free Dom,974
Front de libération de polynésie,987
Front national (F.N.),75
Génération écologie (G.E.),75
Groupe d'action économique et sociale (G.A.E.S.),13
Groupe dialogue et démocratie,974
Groupement des élus de l'U.D.F.,75
Groupement France-Réunion,974
"Initiatives pour une démocratie européenne, économique et sociale (I.D.E.E.S.)",94
J'aime Brest,29
L'alliance régionale,62
La gauche réaliste,51
La mana te una,987
Les Verts,75
Lutte ouvrière,75
Metz pour tous,57
Mouvement à gauche vraiment,93
Mouvement d'union de gestion communale de la ville de Plan-de-Cuques,13
Mouvement de décolonisation et d'émancipation sociale,973
Mouvement Démocratie Lorraine,57
Mouvement des citoyens (M.D.C.),75
Mouvement des démocrates,75
Mouvement des radicaux de gauche (M.R.G.) (devenu radical),75
Mouvement des réformateurs,75
Mouvement indépendantiste martiniquais (M.I.M.),972
Mouvement initiative démocratique de gauche,2
Mouvement Politique pour la Relance économique et Sociale de la Seyne-sur-mer (M.P.R.E.S.S.),83
Mouvement populaire mahorais,976
"Mouvement pour l'emploi, l'environnement et la sécurité en Seine-et-Marne",77
Mouvement pour la France,75
Mouvement Progressiste Socialisme et Démocratie (M.P.S.D.),974
Mouvement Réussir Strasbourg,67
Mouvement Solidarité participation,75
Nice vallées montagne,6
Nouveaux écologistes du rassemblement nature et animaux (N.E.R.N.A.),13
Nouvelle démocratie,75
Parti communiste français P.C.F.),75
Parti communiste guadeloupéen,971
Parti communiste martiniquais,972
Parti communiste réunionnais (P.C.R.),974
Parti de la loi naturelle (P.L.N.),95
Parti des travailleurs,75
Parti du renouveau politique,33
Parti libéral,34
Parti libéral indépendant jurassien,39
Parti martiniquais socialiste,972
Parti pour la défense des animaux,13
Parti Progressiste Démocratique Gaudeloupéen (P.P.D.G.),971
Parti progressiste martiniquais,972
Parti radical,75
Parti Républicain (P.R.),75
Parti Social Démocrate (P.S.D.),75
Parti Socialiste (P.S.),75
Parti socialiste gaudeloupéen,971
Parti Socialiste Guyanais (P.S.G.),973
Partit occitan,10
Performance et partage,75
Priorité Réunion,974
Pupu here ai'a te nuna'a la ora,987
Rassemblement des démocrates et républicains de progrès (R.D.R.P.),77
Rassemblement des démocrates pour la protection de l'espace réunionnais (R.D.P.E.R.),974
Rassemblement des indépendants nationaux,33
Rassemblement pour l'Europe fédérale,75
Rassemblement Pour la République (R.P.R.),75
Rassembler pour l'avenir - Espace de liberté,38
Saint-Denis Avenir Solidarité,974
Solidarité Ecologie Gauche Alternative (S.E.G.A.),75
Solidarité-Ecologie-Haut-Rhin,
(devenu Citoyenneté Solidarité Ecologie),68
Tahoeraa huiraatira,987
Te hoa toa nui o te henua enata,987
Tireo,987
Union centriste,75
Union démocratique bretonne (U.D.B.),44
Union des indépendants (U.D.I.),75
Union Drôme-Sud des Républicains (U.D.S.R.),26
Union Nationale écologiste (U.N.E.),13
Union populaire pour la libération de la Guadeloupe,971
Union pour l'avenir du pays de Ploërmel,56
Union des forces libérales de guyane,973
Union pour la Démocratie Française (U.D.F.),75
Union pour le pays malouin,35
Union républicaine lorraine (U.R.L.),57
Union Républicaine pour l'Eure-et-Loir (U.R.E.L.),28
Unité 13,13
Var progrès plus,83
Walwari,973
