Dénomination,Dépt.
A gauche autrement,26
A gauche-innover-rassembler (A.G.I.R.),75
A gauche vraiment,93
Action (l') (ex union pour le renouveau),972
A.I.A.-A.P.I.,987
A.R.I.A.S. (Association de Recherches et d'Initiatives pour l'Autogestion et le Socialisme),93
A.R.I.A.S. 94,94
Alliance Gard-Cévennes,30
Alliance Générale d'Initiatives et de Réflexion (A.G.I.R.),75
Alliance locale des citoyens d'Orsay et de Bures,91
Alliance populaire,75
Alliance pour l'écologie et la démocratie,75
Alliance régionale,62
Alternative rouge et verte,75
Anjou-écologie-autogestion,49
Archipel demain,975
Association de financement de la fédération des élus socio-démocrates et réformateurs des Hautes-Pyrénées,65
Association de Gestion des Adhérents Directs de l'UDF (A.G.A.D.-U.D.F.),75
Association des députés radicaux de gauche,75
Association Parti socialiste - Mouvement des radicaux de gauches et apparentés,75
Association pour le développement économique et la promotion de la démocratie dans le Calvados,75
Association témoin (club témoin),75
Audace,30
Avenir et liberté,92
Centre des Démocrates Sociaux (C.D.S.),75
Centre National des Indépendants et paysans (C.N.I.),75
Chasse-Pêche-Nature et Traditions (C.N.P.T.),33
Citoyens d'europe (ex Le mouvement action égalité),13
Club perspectives et réalités,59
Club 89,75
Combat ouvrier,972
Combat pour les valeurs,75
Comité départementaliste Portois,974
Comité des citoyens montreuillois,93
Convaincre (Fédération des,75
associations Convaincre) (F.A.C.),
Convention démocratie avenir,13
Convention pour la Vème République,75
Convention pour le progrès social,34
Délégation pour la promotion de l'alliance,76
Demain la France,75
Développement et avenir de la Réunion,974
écologie-alternative-autogestion (E 2 A),38
écologie et société,38
écologiste,971
énergie France,75
Entau païs,64
Entente démocratie écologie en Normandie (E.D.E.N.),76
Euskal batasuna,64
Fédération démocratique de Franche-Comté (F.D.F.C.),25
Fédération pour une nouvelle solidarité,75
Forces démocratiques de Guyane,973
Forum progressiste,94
Forum provence 13,13
Forum républicain,75
France éclairée,6
France-Réunion-avenir,974
Free-Dom,974
Front de libération de Polynésie,987
Front national,75
Génération Ecologie (G.E.),75
Groupe d'action économique et sociale (G.A.E.S.),13
Groupe dialogue et démocratie,974
Groupement des élus de l'U.D.F.,75
Groupement France-Réunion,974
"Initiatives pour une démocratie européenne, économique et sociale (I.D.E.E.S.)",94
J'aime Brest,29
La Mana te nuna,987
Les Verts,75
Lutte ouvrière,75
Metz pour tous,57
Moselle debout,57
Mouvement d'union de gestion communale de la ville de Plan-de Cuques,13
Mouvement de décolonisation et d'émancipation sociale,973
Mouvement des citoyens,75
Mouvement des démocrates,75
Mouvement des radicaux de gauche (M.R.G.),75
Mouvement des réformateurs,75
Mouvement Démocratie Lorraine,57
Mouvement initiative démocratique de gauche,2
Mouvement indépendantiste martiniquais (M.I.M.),972
Mouvement populaire mahorais,976
Mouvement progressiste Socialisme et démocratie,974
Mouvement solidarité participation,75
Nice horizon 2000,6
Nice vallées montagnes,6
Nouveaux écologistes du rassemblement nature et animaux,13
Nouvelle démocratie,75
Parti communiste français (P.C.F.),75
Parti communiste guadeloupéen,971
Parti communiste martiniquais,971
Parti communiste réunionnais (P.C.R.),974
Parti de la loi naturelle,95
Parti des travailleurs,75
Parti du renouveau politique (P.R.P.),33
Parti libéral indépendant jurassien,39
Parti martiniquais socialiste,972
Parti pour la défense des animaux (P.P.D.A.),13
Parti progressiste démocratique gaudeloupéen,971
Parti progressiste martiniquais,972
Parti Radical,75
Parti républicain (P.R.),75
Parti social démocrate (P.S.D.),75
Parti Socialiste,75
Parti socialiste gaudeloupéen,971
Parti socialiste guyanais,973
Parti te Tiarama,987
Partit occitan,16
Performance et partage,75
Pupu here ai'a te nuna'a la ora,987
Rassemblement des démocrates et des libéraux,84
Rassemblement des démocrates et républicains de progrès,77
Rassemblement des démocrates polynésiens,987
Rassemblement des Démocrates pour la Protection de l'Espace Réunionnais (R.D.P.E.R.),974
Rassemblement des indépendants nationaux,33
Rassemblement pour l'Europe fédérale,75
Rassemblement Pour la République (R.P.R.),75
Renouveau politique,
Réussir Strasbourg,6
Saint-Denis avenir solidarité,974
"Saint-Maur demain, des villages dans la ville devient ""Des villages dans la ville""",94
Solidarité Ecologie gauche alternative,75
Solidarité Ecologie Haut-Rhin,68
(devenu Citoyenneté Solidarité Ecologie),
Te hae toa nui o te henua enata,987
Tahoeraa huiraatira,987
Tireo,987
Union centriste,75
Union Des Indépendants (U.D.I.),75
Union des forces libérales de Guyane,973
Union des Sénateurs Non Inscrits (U.S.N.I.),75
Union Démocratique Bretonne (U.D.B.),44
Union Drôme-sud des républicains,26
Union et Rassemblement Majorité Régionale Rhône-Alpes (U.R.M.R.R.A.),1
Union nationale écologiste,13
Union pour l'avenir du pays de Ploërmel,56
Union pour la Démocratie Française (U.D.F.),75
Union pour le pays malouin,35
Union Républicaine Lorraine (U.R.L.),57
Union républicaine pour l'Eure-et-Loire,28
Unité 13,13
Var progrès plus,83
Valeurs et démocratie françaises,38
Vivre La Politique Autrement (V.L.P.A.),13
