Dénomination,Dépt.
Action (deviendra L'Action),972
A gauche pour innover rassembler (A.G.I.R.),75
AIA-A.P.I.,987
Action réformes,44
Agir au quotidien avec Nicolas Dupont-Aignan,91
Aimer Angers,49
Alliance guyanaise,973
Alliance Méditerranée Alpes,6
Alliance nationale républicaine et démocratique,34
Alliance populaire,75
Alliance pour la souveraineté de la France,92
Alliance pour l'écologie et la démocratie,75
Alternative rouge et verte,75
Anjou écologie autogestion,49
Aquitaine 2000 (Pour l'Aquitaine),33
Argenteuil que nous aimons,95
Arias 94,94
Assemblée des alliances de citoyens,75
Association de Gestion des Adhérents Directs de l'U.D.F. (A.G.A.D.-U.D.F.),75
Association de recherches et d'initiatives pour l'autogestion et le socialisme,75
Association des amis de Jacques Chirac,75
Association des indépendants de progrès,87
Association le Mans Demain,72
Association Paris 15,75
"Association Parti socialiste, Parti radical socialiste et apparentés",75
"Association pour la démocratie, l'écologie et la solidarité (A.D.E.S.)",38
Association pour la réforme,75
Association pour l'information des habitants du 16ème arrt,75
Association pour une République Citoyenne (A.R.C.),75
Avec vous pour le 18e,75
Brétigny autrement,91
Centre National des Indépendants et des Paysans (C.N.I.P.),75
"Chasse, pêche, nature et traditions",33
Citoyens candidats,59
Club 89,75
Club Gambetta République et égalité,75
Combat ouvrier,972
Combat pour les valeurs,75
Comité central bonapartiste,20B
Comité de soutien à Jean Valleix,33
Comité des citoyens montreuillois,93
Confédération des écologistes indépendants,75
Confédération nationale avenir France République,25
Conseil national des comités populaires,972
Convaincre (Fédération des associations Convaincre),75
Convention Démocratie Avenir (C.D.A.),13
Convention pour le progrès social,34
Convention pour une Alternative Progressiste (C.A.P.),75
Convergence régionale,93
Convergences Champigny,94
Convergences Ecologie Solidarité,75
Convergences Gilles Carrez,94
Demain la France,75
Démocratie chrétienne sociale française,75
Démocratie et liberté,32
Démocratie libérale (juil. 1997 ex Parti républicain ),75
Des villages dans la ville,94
Dialogue,69
Ecologie autogestion 85,85
Eden-République et démocratie (ex entente démocratie écologie en Normandie),76
Elan nouveau (Un),974
énergie France,75
Ensemble pour Argenteuil citoyenne,95
Ensemble pour la France,38
Ensemble pour le Haut-Vaucluse,84
Entente républicaine - le parti azuréen,6
Euskal Batasuna,64
Fédération pour l'unité du peuple calédonien,988
Fédération pour une nouvelle solidarité,75
Fédération réussir Lyon (Réussir Lyon),69
FETIA API,987
Force démocrate,75
France moderne,75
Francheville au coeur,69
Frankiz Breizh/Liberté Bretagne,29
Free-Dom,974
Front de libération de la Polynésie (Tavini huiraatira no te ao Maohi),987
Front National (F.N.),75
Futurs-Mouvement des refondateurs communistes,93
Génération écologie (G.E.),75
Grenoble 2001,38
Grenoble cap 2001,38
Groupe d'Action économique et Sociale (G.A.E.S.),13
Groupe d'études municipales d'Eure-et-Loir (G.E.M.28),28
Groupement des élus de l' U.D.F.,75
Groupement France-Réunion,974
Guadeloupe unie socialisme et réalités,971
Indre démocratie,36
Initiative républicaine,75
Initiatives citoyennes,44
Initiatives pour le Développement du Sud (I.D.E.S.),974
"Initiatives pour une Démocratie Européenne, économique et Sociale (I.D.E.E.S.)",94
J'aime Brest,29
L'Alliance régionale,62
La Gauche réaliste,51
La Volonté de vivre ensemble,68
Les Alternatifs,75
Les Verts,75
Ligue Communiste Révolutionnaire (L.C.R.),93
Lutte ouvrière,75
Lyon-Rhône-Alpes 2007,69
Metz pour tous,57
Mouvement A gauche vraiment,93
Mouvement de décolonisation et d'émancipation de la Guyane,973
Mouvement de la gauche progressiste,72
Mouvement de solidarité des français,77
Mouvement Démocratie alsacienne,67
Mouvement Démocratie Lorraine,57
Mouvement Des Citoyens (M.D.C.),75
Mouvement des démocrates,75
Mouvement des réformateurs,75
Mouvement de gestion communale de la ville de Plan-de-Cuques,13
Mouvement écologiste indépendant,75
