Dénomination,Dépt.
Action (l'),972
A Gauche pour Innover Rassembler (A.G.I.R.),75
A.I.A.-A.P.I.,987
Agir avec Gilbert Meyer,68
Aimer Angers,49
Alliance locale des citoyens d'Orsay et de Bures,91
Alliance Méditerranée Alpes,6
Alliance nationale démocratique et républicaine,34
Alliance populaire,75
Alliance pour l'écologie et la démocratie,75
Alternative Rouge Et Verte (A.R.E.V.),75
Anjou écologie autogestion,49
Argenteuil que nous aimons,95
Arias 94,94
Assemblée des alliances de citoyens,75
Association de Gestion des Adhérents Directs de l'U.D.F. (A.G.A.D.-U.D.F.),75
Association de Recherches et d'Initiatives pour l'Autogestion et le Socialisme (A.R.I.A.S.),75
Association des indépendants de progrès,87
Association Paris 15,75
"Association Parti socialiste, Parti radical socialiste et apparentés",75
Association pour l'information des habitants du 16ème arrt,75
"Association pour la Démocratie, l'écologie et la Solidarité (A.D.E.S.)",38
Association pour la réforme,75
Association pour une République Citoyenne (A.R.C.),75
Avec vous pour le 18ème,75
Brétigny autrement,91
Centre National des Indépendants et des Paysans (C.N.I.P.),75
"Chasse, pêche, nature et traditions",33
Citoyens candidats,59
Citoyens d'Europe,75
Club 89,75
"Club Gambetta ""République et égalité""",75
Combat ouvrier,972
Combat pour les valeurs,75
Comité central bonapartiste,20B
Comité de soutien à Jean Valleix,33
Comité des citoyens montreuillois,93
Confédération des écologistes indépendants,75
Confédération nationale Avenir France République,25
Conseil national des comités populaires,972
Convaincre (Fédération des associations Convaincre),75
Convention Démocratie Avenir (C.D.A.),13
Convention pour le progrès social,34
Convention pour une Alternative Progressiste (C.A.P.),75
Convergence régionale,93
Convergences Champigny,94
Convergences Ecologie Solidarité,75
Convergences Gilles Carrez,94
Demain la France,75
Démocratie chrétienne sociale française,75
Démocratie et liberté,32
Démocratie libérale (ex Parti Républicain jusqu'au 8/7/98),75
Des villages dans la ville,94
Ecologie autogestion 85,85
Energie France,75
Ensemble Pour Argenteuil Citoyenne (E.P.A.C.),95
Ensemble pour le Haut-Vaucluse,84
Eden-République et démocratie,
(ex Entente Démocratie écologie en Normandie (E.D.E.N.),76
Entente républicaine - le Parti azuréen,6
Euskal Batasuna,64
Fédération pour une nouvelle solidarité,75
FETIA API,987
Force démocrate,75
Forum provence 13,13
France moderne,75
Francheville au coeur,69
Frankiz Breizh / Liberté Bretagne,29
Free-Dom,974
Front de libération de la Polynésie,987
Front National (F.N.),75
Futur - Mouvement des refondateurs communistes,93
Génération écologie (G.E.),75
Grenoble 2001,38
Groupe d'Action économique et Sociale (G.A.E.S.),13
Groupement des élus de l'U.D.F.,75
Groupement France-Réunion,974
Guadeloupe unie socialisme et réalités,971
Indre démocratie,36
Initiatives pour le Développement du  Sud (I.D.E.S.),974
"Initiatives pour une Démocratie Européenne, économique et Sociale (I.D.E.E.S.)",94
Initiative républicaine,75
J'aime Brest,29
L'Alliance régionale,59
La gauche réaliste,51
La mana te nuna,987
La volonté de vivre ensemble,68
Le Mans demain association,72
Les Nouveaux écologistes du Rassemblement Nature et Animaux (N.E.R.N.A.),13
Les Verts,75
Ligue Communiste Révolutionnaire (L.C.R.),93
Lutte ouvrière,75
Lyon-Rhône-Alpes 2007,69
Metz pour tous,57
Mouvement A gauche vraiment,93
Mouvement Démocratie alsacienne,67
Mouvement Démocratie Lorraine,57
Mouvement de solidarité des français,77
Mouvement Des Citoyens (M.D.C.),75
Mouvement des démocrates,75
Mouvement des réformateurs,75
Mouvement pour la démocratie directe,67
Mouvement de gestion communale de la ville de Plan-de-Cuques,13
Mouvement écologiste indépendant,75
"Mouvement Hommes, Animaux, Nature",75
Mouvement Indépendantiste Martiniquais (M.I.M.),972
Mouvement Politique pour la Relance économique et Sociale de la Seyne-sur-mer (M.P.R.E.S.S.),83
Mouvement populaire mahorais,976
"Mouvement pour l'emploi, l'environnement et la sécurité en Seine-et- Marne",77
