Dénomination,Dépt.
Action (l'),972
A gauche pour innover rassembler,75
A.I.A.-A.P.I.,987
Aimer Angers,49
Alliance locale des citoyens d'Orsay et de Bures,91
Alliance populaire,75
Alliance pour l'écologie et la démocratie,75
Alternative rouge et verte,75
Anjou écologie autogestion,49
Arias 94,94
Assemblée des alliances de citoyens,75
Association de gestion des adhérents directs de l'UDF,75
Association contre le chômage et l'exclusion,29
Association de recherches et d'initiatives pour l'autogestion et le socialisme,75
Association des indépendants de progrès,87
Association Paris 15,75
"Association Parti socialiste, Parti radical socialiste et apparentés",75
"Association pour la démocratie, l'écologie et la solidarité (A.D.E.S.)",38
Association pour la réforme,75
Association pour une République citoyenne,75
Association témoin,75
Brétigny autrement,91
Centre des démocrates sociaux,75
Centre national des indépendants et des paysans,75
"Chasse, pêche, nature et traditions",75
Citoyens candidats,59
Citoyens d'Europe,75
Club 89,75
"Club Gambetta ""République et égalité""",75
Combat pour les valeurs,75
Comité central bonapartiste,20B
Comité de soutien à Jean Valleix,33
Comité des citoyens montreuillois,93
Confédération des écologistes indépendants,75
Convaincre (Fédération des associations Convaincre),75
Convention Démocratie avenir,13
Convention libérale européenne et sociale,75
Convention pour le progrès social,34
Convention pour une alternative progressiste,75
Convergence régionale,93
Convergences Ecologie solidarité,75
Demain la France,75
Démocratie XIIIe,92
Démocratie chrétienne sociale française,75
Démocratie et liberté,32
Des villages dans la ville,94
Ecologie alternatives autogestion,38
Energie France,75
Ensemble pour Argenteuil citoyenne,95
Entente démocratie écologie en Normandie,76
Espérance,87
Euskal Batasuna,64
Fédération pour une nouvelle solidarité,75
FETIA A.P.I.,987
Force démocrate,75
Forum provence 13,13
Forum républicain,75
France éclairée,6
France Réunion avenir,974
Francheville au coeur,69
Frankiz Breizh / Liberté Bretagne,29
Free Dom,974
Front national,75
Génération Ecologie,75
Groupe d'action économique et sociale,13
Groupement des élus de l'UDF,75
Groupement France-Réunion,974
Initiatives pour le développement du  Sud,974
"Initiatives pour une démocratie européenne, économique et sociale",94
J'aime Brest,29
L'Alliance régionale,59
La gauche réaliste,51
La volonté de vivre ensemble,68
Le Défi français,91
Le Mans demain-Association,72
Les nouveaux écologistes du rassemblement Nature et Animaux,13
Les Verts,75
Ligue communiste révolutionnaire,93
Lutte ouvrière,75
Metz pour tous,57
Mouvement A gauche vraiment,93
Mouvement d'union de gestion communale de la ville de Plan-de-Cuques,13
Mouvement Démocratie alsacienne,67
Mouvement Démocratie Lorraine,57
Mouvement des citoyens,75
Mouvement des démocrates,75
Mouvement des réformateurs,75
Mouvement écologiste indépendant,75
Mouvement indépendantiste martiniquais,972
Mouvement politique pour la relance économique et sociale de la Seyne-sur-mer,83
Mouvement populaire mahorais,976
"Mouvement pour l'emploi, l'environnement et la sécurité en Seine-et- Marne",75
Mouvement Pour la France,75
Mouvement progressiste Socialisme et démocratie,974
Mouvement réussir Strasbourg,67
Nanterre maintenant,92
Nouvelle Démocratie,75
Parti communiste français,75
Parti communiste guadeloupéen,971
Parti communiste martiniquais,972
Parti communiste réunionnais,974
Parti de la loi naturelle,95
Parti des travailleurs,75
Parti libéral,34
Parti martiniquais socialiste,972
Parti mondialiste,75
Parti populaire pour la Démocratie française (ex Club perspectives et réalités),75
Parti pour la défense des animaux,13
Parti progressiste démocratique gaudeloupéen,971
Parti progressiste martiniquais,972
Parti Radical,75
Parti radical socialiste,75
Parti Républicain,75
Parti social démocrate,75
Parti Socialiste,75
Parti socialiste gaudeloupéen,971
Parti socialiste guyanais,973
Partit occitan,10
Performance et partage,75
Pour rénover la gauche,75
Priorité Réunion,974
Pupu here ai'a te nuna'a la ora,987
Rassemblement des buxangeorgiens républicains,77
Rassemblement des démocrates et républicains de progrès,77
Rassemblement des démocrates pour la protection de l'espace réunionnais,974
Rassemblement Poitiers sud,86
Rassemblement pour l'Europe fédérale,75
Rassemblement pour la Calédonie dans la République,988
Rassemblement Pour la République,75
Rassembler pour agir,95
Rassembler pour l'avenir - espace de liberté,38
Réformes et liberté,75
Réussir Lyon,69
Solidaires-Régions-Ecologie,75
Solidarité Ecologie gauche alternative,75
Solidarité Ecologie Haut-Rhin,
(devenu Citoyenneté Solidarité Ecologie),68
Solidarité et progrès,75
Tahoeraa huiraatira,987
Tireo,987
Toulon 89,83
Toulouse pour tous,31
Une nouvelle Calédonie pour tous,987
Union centriste,75
Union démocratique bretonne,44
Union des indépendants,75
Union Drôme-sud des républicains,26
Union du peuple alsacien,67
Union du peuple de France,69
Union et rassemblement majorité Rhône-Alpes,69
Union et rassemblement pour le Gers,32
Union nationale écologiste,13
Union populaire pour la libération de la Guadeloupe,971
Union pour l'avenir des Alpes de Haute-Provence,4
Union pour l'avenir du pays de Ploërmel,56
Union pour la Démocratie française,75
Union pour le Val de Seine,92
Union pour le pays malouin,35
Union pour Saint-Chamond,42
Union régionale pour la démocratie française,1
Union républicaine lorraine,57
Union républicaine pour l'Eure-et-Loir,28
Unione di u populu corsu,20A
Unité 13,13
Var progrès plus,83
Walwari,973
