Dénomination,Dépt.
A.I.A-A.P.I.,987
A gauche autrement,26
A Gauche-Innover-Rassembler (A.G.I.R.),75
Action (l'),972
Aimer Angers,49
Alliance locale des citoyens d'Orsay et de Bures,91
Alliance populaire,75
Alliance pour l'écologie et la démocratie,75
Alternance démocratique,92
Alternative Rouge et Verte (A.R.E.V.),75
Anjou écologie autogestion,49
Arias 94,94
Assemblée des alliances de citoyens,78
Association de Gestion des Adhérents Directs de l'U.D.F. (A.G.A.D.-U.D.F.),75
Association contre le chômage et l'exclusion,29
Association de Recherches et d'Initiatives pour l'Autogestion et le Socialisme (A.R.I.A.S.),75
Association des indépendants de progrès,87
"Association Parti Socialiste, M.R.G. et apparentés",75
Association pour la réforme,75
Association pour une République Citoyenne (A.R.C.),75
Association témoin,75
Audace,30
Centre des Démocrates Sociaux (C.D.S.),75
Centre National des Indépendants et des paysans (C.N.I.),75
"Chasse, pêche, nature et traditions",33
Citoyens-candidats,59
Citoyens d'Europe,75
Club 89,75
"Club Gambetta ""République et égalité""",75
Combat pour les valeurs,75
Comité central bonapartiste,20B
Comité de soutien à Jean Valleix,33
Comité des citoyens montreuillois,93
Confédération des écologistes Indépendants (C.E.I.),92
Convaincre (Fédération des associations Convaincre) (F.A.C.),75
Convention Démocratie Avenir (C.D.A.),13
Convention Libérale Européenne et Sociale (C.L.E.S.),75
Convention pour la Vème République,75
Convention pour le progrès social,34
Convention pour une alternative progressiste (C.P.A.),75
Convergences écologie solidarité,75
Délégation pour la promotion de l'alliance,75
Demain la France,75
Démocratie 13e,92
Démocratie chrétienne sociale française,75
Démocratie et liberté,32
Des villages dans la ville,94
écologie alternative autogestion,38
énergie France,75
Ensemble pour Argenteuil Citoyenne (E.P.A.C.),95
Entau païs,65
Entente Démocratie écologie en Normandie (E.D.E.N.),76
Espérance,87
Euskal Batasuna,64
Fédération démocratique de Franche-Comté,25
Fédération pour une nouvelle solidarité,75
Forum provence 13,13
Forum républicain,75
France éclairée,6
France Réunion avenir,974
Free-Dom,974
Front national (F.N.),75
Génération écologie (G.E.),75
Groupe d'Action économique et Sociale (G.A.E.S.),13
Groupe dialogue et démocratie,974
Groupement des élus de l'U.D.F.,75
Groupement France-Réunion,974
"Initiatives pour une Démocratie Européenne, économique et Sociale (I.D.E.E.S.)",94
J'aime Brest,29
L'Alliance régionale,59
La gauche réaliste,51
Le Défi français,91
Les nouveaux écologistes du Rassemblement Nature et Animaux (N.E.R.N.A.),13
Les Verts,75
Ligue Communiste Révolutionnaire (L.C.R.),93
Lutte ouvrière,75
Metz pour tous,57
Mouvement A gauche vraiment,93
Mouvement d'union de gestion communale de la ville de Plan-de-Cuques,13
Mouvement Démocratie alsacienne,67
Mouvement Démocratie Lorraine,57
Mouvement Des Citoyens (M.D.C.),75
Mouvement des démocrates,75
Mouvement des Radicaux de gauche devient Radical,75
Mouvement des réformateurs,75
